station,init_utc,fhour,valid_utc,var,val
ZHCC,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,u10,-1.502
ZHHH,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,u10,-6.852
ZSJN,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,u10,-0.022
ZSPD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,u10,-2.712
ZSQD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,u10,0.008
ZUCK,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,u10,-1.752
ZUUU,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,u10,0.578
ZSQD_NEW,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,u10,-1.992
ZBAA,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,1.548
ZGGG,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,3.098
ZGSZ,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,5.748
ZHCC,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,4.218
ZHHH,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,3.428
ZSJN,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,-0.692
ZSPD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,3.658
ZSQD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,1.818
ZUCK,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,-0.922
ZUUU,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,-0.752
ZSQD_NEW,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,v10,3.328
ZBAA,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,67.8
ZGGG,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,65.8
ZGSZ,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,60.6
ZHCC,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,42.3
ZHHH,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,100.0
ZSJN,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,5.0
ZSPD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,0.7
ZSQD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,4.9
ZUCK,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,100.0
ZUUU,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,95.3
ZSQD_NEW,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,tcc,0.0
ZBAA,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,420.2
ZGGG,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,337.56
ZGSZ,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,247.04
ZHCC,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,365.42
ZHHH,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,425.8
ZSJN,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,457.7
ZSPD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,560.74
ZSQD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,505.28
ZUCK,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,52.94
ZUUU,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,234.34
ZSQD_NEW,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,dswrf,495.24
ZBAA,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,709.549
ZGGG,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,744.829
ZGSZ,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,394.109
ZHCC,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,311.389
ZHHH,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,606.029
ZSJN,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,392.989
ZSPD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,143.869
ZSQD,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,265.629
ZUCK,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,156.269
ZUUU,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,301.629
ZSQD_NEW,2024-04-01T00:00:00+00:00,1,2024-04-01T01:00:00+00:00,hpbl,330.829
ZBAA,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,101564.838
ZGGG,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,100964.838
ZGSZ,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,101060.838
ZHCC,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,100771.838
ZHHH,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,100747.238
ZSJN,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,101130.638
ZSPD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,101571.838
ZSQD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,101445.038
ZUCK,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,100156.038
ZUUU,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,100207.838
ZSQD_NEW,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,prmsl,101408.238
